"location","outbreak_number","spatial_scale","outbreak_pop","country","start_date","end_date","weekly_threshold_per_10e5","Total_sCh","Total_cCh","Total_deaths","Duration_weeks","peak_week_incidence","time_to_peak_week","peak_week_incidence_per_100percent","peak_week_incidence_per_10e3","mean_R0_1st_week","area_per_1km2","rural_urban","AR_per_10e3","CFR_per_100percent"
"AFR::COD::Equateur::Irebu Health District",1,"admin2",20525.2778934557,"COD","2016-07-04","2016-10-09",3.08976056479259,60,NA,6,14,18,6,30,0.876967420048384,1.82,1513.61355180625,"rural",2.92322473349461,10
"AFR::COD::Equateur::Irebu Health District",3,"admin2",21317.2821650071,"COD","2018-02-05","2018-06-10",3.08976056479259,166,NA,11,18,32,6,19.2771084337349,1.50112944756761,1.81,1513.61355180625,"rural",7.78710900925699,6.62650602409639
"AFR::COD::Equateur::Lilanga Bobangi Health District",1,"admin2",17943.9394880417,"COD","2012-03-19","2012-09-30",3.25911477268793,83.3333333333333,NA,3,28,11.3333333333333,6,13.6,0.631596720490846,1.67,5062.49732058909,"rural",4.64409353302093,3.6
"AFR::COD::Equateur::Lilanga Bobangi Health District",3,"admin2",25312.490101531,"COD","2018-03-12","2018-07-22",3.25911477268793,54,NA,12,19,12,4,22.2222222222222,0.47407425946111,2.01,5062.49732058909,"rural",2.13333416757499,22.2222222222222
"AFR::COD::Equateur::Lolanga Mampoko Health District",1,"admin2",36423.6464047079,"COD","2012-04-02","2012-08-12",0.841703062790536,89.5,NA,3,19,24.5,3,27.3743016759777,0.672639958333038,2.38,5174.22393260897,"rural",2.45719494982885,3.35195530726257
"AFR::COD::Equateur::Lukolela Health District",1,"admin2",98520.4743863366,"COD","2011-06-13","2011-10-23",1.98415866969397,504.333333333333,NA,11,19,62,6,12.2934567085261,0.629310814692936,1.54,7275.96736658912,"rural",5.11907130446458,2.18109715796431
"AFR::COD::Equateur::Lukolela Health District",7,"admin2",109816.126593997,"COD","2016-08-01","2016-10-02",1.98415866969397,30,NA,2,9,12,3,40,0.109273568210664,1.85,7275.96736658912,"rural",0.273183920526659,6.66666666666667
"AFR::COD::Equateur::Lukolela Health District",8,"admin2",116053.558687622,"COD","2018-02-19","2018-06-17",1.98415866969397,285,NA,11,17,43,4,15.0877192982456,0.370518581991457,2.06,7275.96736658912,"rural",2.45576269459454,3.85964912280702
"AFR::COD::Equateur::Lukolela Health District",11,"admin2",116053.558687622,"COD","2018-08-06","2018-10-21",1.98415866969397,102,NA,2,11,26,4,25.4901960784314,0.224034491436695,1.69,7275.96736658912,"rural",0.878904543328573,1.96078431372549
"AFR::COD::Equateur::Makanza Health District",1,"admin2",97369.4124023033,"COD","2011-05-09","2011-11-13",5.23633007492826,419.9,NA,10.5,27,40.5,5,9.64515360800191,0.415941711064921,1.47,6716.18254476834,"rural",4.31244257965828,2.50059537985235
"AFR::COD::Equateur::Makanza Health District",2,"admin2",100050.718216194,"COD","2012-04-02","2012-09-23",5.23633007492826,792,NA,29,25,118,4,14.8989898989899,1.17940182843086,2.12,6716.18254476834,"rural",7.91598515353597,3.66161616161616
"AFR::COD::Equateur::Makanza Health District",4,"admin2",109868.663146691,"COD","2016-06-20","2016-11-13",5.23633007492826,552,NA,15,21,85,6,15.3985507246377,0.773650989877912,2.29,6716.18254476834,"rural",5.02418054603068,2.71739130434783
"AFR::COD::Equateur::Makanza Health District",8,"admin2",112584.126592693,"COD","2017-02-20","2017-05-28",5.23633007492826,198,NA,6,14,40,3,20.2020202020202,0.355289872654179,1.48,6716.18254476834,"rural",1.75868486963819,3.03030303030303
"AFR::COD::Equateur::Mampoko Health District",1,"admin2",4105.79861606379,"COD","2016-05-23","2016-12-18",42.0237517490061,316,NA,12,30,50,13,15.8227848101266,12.1778987903539,1.65,499.269402535668,"rural",76.9643203550368,3.79746835443038
"AFR::COD::Equateur::Mampoko Health District",4,"admin2",4368.40480489654,"COD","2017-02-13","2017-05-28",42.0237517490061,119,NA,6,15,18,4,15.1260504201681,4.12049725332776,1.72,499.269402535668,"rural",27.241065174778,5.04201680672269
"AFR::COD::Equateur::Mawuya Health District",1,"admin2",99671.3926064353,"COD","2012-02-20","2012-07-08",0.115471850329514,13,NA,2,20,5,3,38.4615384615385,0.0501648453909249,1.94,3578.46497389991,"rural",0.130428598016405,15.3846153846154
"AFR::COD::Equateur::Mbandaka Health District",1,"admin2",181378.688759342,"COD","2016-06-06","2016-12-11",0.654831283045633,165,NA,3,27,17,9,10.3030303030303,0.0937265569416264,1.83,1140.493013447,"rural",0.909698935021668,1.81818181818182
"AFR::COD::Equateur::Wangata Health District",1,"admin2",50541.1572990005,"COD","2011-08-29","2011-11-13",9.18953407628785,295,NA,2,11,72,3,24.406779661017,1.42458154596756,1.34,64.2925615187636,"rural",5.83682716750599,0.677966101694915
"AFR::COD::Equateur::Wangata Health District",2,"admin2",41864.2582044767,"COD","2012-03-26","2012-07-08",9.18953407628785,125.333333333333,NA,3.66666666666667,15,19.6666666666667,3,15.6914893617021,0.469772247500701,1.71,64.2925615187636,"rural",2.99380279763159,2.92553191489362
"AFR::COD::Equateur::Wangata Health District",3,"admin2",42919.0123976776,"COD","2016-05-30","2017-01-01",9.18953407628785,744,NA,6,31,58,5,7.79569892473118,1.35138244707463,1.71,64.2925615187636,"rural",17.3349748383366,0.806451612903226
"AFR::COD::Equateur::Wangata Health District",9,"admin2",45202.3732105949,"COD","2017-04-03","2017-07-16",9.18953407628785,96,NA,2,15,17,5,17.7083333333333,0.37608644839947,1.76,64.2925615187636,"rural",2.12378229684407,2.08333333333333
"AFR::COD::Equateur::Zongo Health District",1,"admin2",55007.4077862692,"COD","2012-03-19","2012-08-26",1.44756552609734,76,NA,2,23,58,12,76.3157894736842,1.05440344008499,1.96,761.660888388642,"rural",1.38163209390447,2.63157894736842
